01/1985,MMO,0
02/1985,MMO,0
03/1985,MMO,0
04/1985,MMO,0
05/1985,MMO,0
06/1985,MMO,0
07/1985,MMO,0
08/1985,MMO,0
09/1985,MMO,0
10/1985,MMO,0
11/1985,MMO,0
12/1985,MMO,0
01/1986,MMO,0
02/1986,MMO,0
03/1986,MMO,0
04/1986,MMO,0
05/1986,MMO,0
06/1986,MMO,0
07/1986,MMO,0
08/1986,MMO,0
09/1986,MMO,0
10/1986,MMO,0
11/1986,MMO,0
12/1986,MMO,0
01/1987,MMO,0
02/1987,MMO,0
03/1987,MMO,0
04/1987,MMO,0
05/1987,MMO,0
06/1987,MMO,0
07/1987,MMO,0
08/1987,MMO,0
09/1987,MMO,0
10/1987,MMO,0
11/1987,MMO,0
12/1987,MMO,0
01/1988,MMO,0
02/1988,MMO,0
03/1988,MMO,0
04/1988,MMO,0
05/1988,MMO,0
06/1988,MMO,0
07/1988,MMO,0
08/1988,MMO,0
09/1988,MMO,0
10/1988,MMO,0
11/1988,MMO,0
12/1988,MMO,0
01/1989,MMO,0
02/1989,MMO,0
03/1989,MMO,0
04/1989,MMO,0
05/1989,MMO,0
06/1989,MMO,0
07/1989,MMO,0
08/1989,MMO,0
09/1989,MMO,0
10/1989,MMO,0
11/1989,MMO,0
12/1989,MMO,0
01/1990,MMO,0
02/1990,MMO,0
03/1990,MMO,0
04/1990,MMO,0
05/1990,MMO,0
06/1990,MMO,0
07/1990,MMO,0
08/1990,MMO,0
09/1990,MMO,0
10/1990,MMO,0
11/1990,MMO,0
12/1990,MMO,0
01/1991,MMO,0
02/1991,MMO,0
03/1991,MMO,0
04/1991,MMO,0
05/1991,MMO,0
06/1991,MMO,0
07/1991,MMO,0
08/1991,MMO,0
09/1991,MMO,0
10/1991,MMO,0
11/1991,MMO,0
12/1991,MMO,0
01/1992,MMO,0
02/1992,MMO,0
03/1992,MMO,0
04/1992,MMO,0
05/1992,MMO,0
06/1992,MMO,0
07/1992,MMO,0
08/1992,MMO,0
09/1992,MMO,0
10/1992,MMO,0
11/1992,MMO,0
12/1992,MMO,0
01/1993,MMO,0
02/1993,MMO,0
03/1993,MMO,0
04/1993,MMO,0
05/1993,MMO,0
06/1993,MMO,0
07/1993,MMO,0
08/1993,MMO,0
09/1993,MMO,0
10/1993,MMO,0
11/1993,MMO,0
12/1993,MMO,0
01/1994,MMO,0
02/1994,MMO,0
03/1994,MMO,0
04/1994,MMO,0
05/1994,MMO,0
06/1994,MMO,0
07/1994,MMO,0
08/1994,MMO,0
09/1994,MMO,0
10/1994,MMO,0
11/1994,MMO,0
12/1994,MMO,0
01/1995,MMO,0
02/1995,MMO,0
03/1995,MMO,0
04/1995,MMO,0
05/1995,MMO,0
06/1995,MMO,0
07/1995,MMO,0
08/1995,MMO,0
09/1995,MMO,0
10/1995,MMO,0
11/1995,MMO,0
12/1995,MMO,0
01/1996,MMO,0
02/1996,MMO,0
03/1996,MMO,0
04/1996,MMO,0
05/1996,MMO,0
06/1996,MMO,0
07/1996,MMO,0
08/1996,MMO,0
09/1996,MMO,0
10/1996,MMO,0
11/1996,MMO,0
12/1996,MMO,0
01/1997,MMO,0
02/1997,MMO,0
03/1997,MMO,0
04/1997,MMO,0
05/1997,MMO,0
06/1997,MMO,0
07/1997,MMO,0
08/1997,MMO,0
09/1997,MMO,1
10/1997,MMO,0
11/1997,MMO,0
12/1997,MMO,0
01/1998,MMO,0
02/1998,MMO,0
03/1998,MMO,0
04/1998,MMO,0
05/1998,MMO,0
06/1998,MMO,0
07/1998,MMO,0
08/1998,MMO,0
09/1998,MMO,0
10/1998,MMO,1
11/1998,MMO,0
12/1998,MMO,0
01/1999,MMO,0
02/1999,MMO,0
03/1999,MMO,1
04/1999,MMO,0
05/1999,MMO,0
06/1999,MMO,0
07/1999,MMO,0
08/1999,MMO,0
09/1999,MMO,0
10/1999,MMO,0
11/1999,MMO,1
12/1999,MMO,0
01/2000,MMO,0
02/2000,MMO,0
03/2000,MMO,1
04/2000,MMO,2
05/2000,MMO,0
06/2000,MMO,1
07/2000,MMO,0
08/2000,MMO,0
09/2000,MMO,0
10/2000,MMO,0
11/2000,MMO,0
12/2000,MMO,2
01/2001,MMO,0
02/2001,MMO,0
03/2001,MMO,1
04/2001,MMO,0
05/2001,MMO,0
06/2001,MMO,1
07/2001,MMO,0
08/2001,MMO,0
09/2001,MMO,0
10/2001,MMO,3
11/2001,MMO,0
12/2001,MMO,2
01/2002,MMO,1
02/2002,MMO,1
03/2002,MMO,1
04/2002,MMO,0
05/2002,MMO,0
06/2002,MMO,0
07/2002,MMO,0
08/2002,MMO,1
09/2002,MMO,1
10/2002,MMO,1
11/2002,MMO,3
12/2002,MMO,3
01/2003,MMO,1
02/2003,MMO,3
03/2003,MMO,1
04/2003,MMO,2
05/2003,MMO,2
06/2003,MMO,2
07/2003,MMO,1
08/2003,MMO,0
09/2003,MMO,3
10/2003,MMO,1
11/2003,MMO,5
12/2003,MMO,2
01/2004,MMO,3
02/2004,MMO,1
03/2004,MMO,0
04/2004,MMO,3
05/2004,MMO,2
06/2004,MMO,1
07/2004,MMO,1
08/2004,MMO,1
09/2004,MMO,5
10/2004,MMO,1
11/2004,MMO,5
12/2004,MMO,2
01/2005,MMO,0
02/2005,MMO,1
03/2005,MMO,2
