01/1985,1
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,1
07/1985,1
08/1985,0
09/1985,2
10/1985,0
11/1985,0
12/1985,5
01/1986,0
02/1986,0
03/1986,0
04/1986,0
05/1986,0
06/1986,1
07/1986,0
08/1986,1
09/1986,3
10/1986,1
11/1986,0
12/1986,12
01/1987,0
02/1987,0
03/1987,0
04/1987,0
05/1987,0
06/1987,0
07/1987,1
08/1987,2
09/1987,0
10/1987,0
11/1987,0
12/1987,14
01/1988,0
02/1988,1
03/1988,0
04/1988,0
05/1988,0
06/1988,1
07/1988,1
08/1988,0
09/1988,1
10/1988,1
11/1988,1
12/1988,10
01/1989,0
02/1989,0
03/1989,1
04/1989,1
05/1989,1
06/1989,1
07/1989,1
08/1989,0
09/1989,0
10/1989,2
11/1989,1
12/1989,17
01/1990,1
02/1990,0
03/1990,0
04/1990,1
05/1990,1
06/1990,1
07/1990,1
08/1990,2
09/1990,1
10/1990,0
11/1990,1
12/1990,18
01/1991,1
02/1991,1
03/1991,0
04/1991,1
05/1991,2
06/1991,2
07/1991,3
08/1991,2
09/1991,0
10/1991,5
11/1991,5
12/1991,16
01/1992,3
02/1992,3
03/1992,2
04/1992,1
05/1992,1
06/1992,2
07/1992,3
08/1992,0
09/1992,2
10/1992,6
11/1992,1
12/1992,22
01/1993,2
02/1993,4
03/1993,1
04/1993,3
05/1993,1
06/1993,3
07/1993,0
08/1993,1
09/1993,0
10/1993,7
11/1993,3
12/1993,24
01/1994,2
02/1994,3
03/1994,2
04/1994,3
05/1994,0
06/1994,3
07/1994,3
08/1994,2
09/1994,1
10/1994,2
11/1994,5
12/1994,17
01/1995,2
02/1995,0
03/1995,3
04/1995,1
05/1995,0
06/1995,1
07/1995,0
08/1995,1
09/1995,2
10/1995,2
11/1995,4
12/1995,12
01/1996,0
02/1996,0
03/1996,1
04/1996,0
05/1996,1
06/1996,0
07/1996,0
08/1996,1
09/1996,1
10/1996,2
11/1996,4
12/1996,6
01/1997,0
02/1997,0
03/1997,0
04/1997,0
05/1997,0
06/1997,0
07/1997,0
08/1997,1
09/1997,2
10/1997,2
11/1997,2
12/1997,7
01/1998,2
02/1998,0
03/1998,1
04/1998,2
05/1998,1
06/1998,0
07/1998,0
08/1998,1
09/1998,1
10/1998,3
11/1998,1
12/1998,5
01/1999,1
02/1999,0
03/1999,1
04/1999,0
05/1999,2
06/1999,0
07/1999,1
08/1999,1
09/1999,1
10/1999,3
11/1999,4
12/1999,4
01/2000,0
02/2000,1
03/2000,2
04/2000,1
05/2000,1
06/2000,1
07/2000,1
08/2000,0
09/2000,1
10/2000,2
11/2000,3
12/2000,7
01/2001,1
02/2001,0
03/2001,5
04/2001,0
05/2001,3
06/2001,0
07/2001,4
08/2001,3
09/2001,4
10/2001,5
11/2001,8
12/2001,7
01/2002,0
02/2002,3
03/2002,0
04/2002,2
05/2002,2
06/2002,3
07/2002,2
08/2002,2
09/2002,3
10/2002,5
11/2002,7
12/2002,10
01/2003,2
02/2003,1
03/2003,5
04/2003,3
05/2003,2
06/2003,2
07/2003,1
08/2003,3
09/2003,6
10/2003,4
11/2003,8
12/2003,7
01/2004,1
02/2004,1
03/2004,2
04/2004,4
05/2004,2
06/2004,4
07/2004,0
08/2004,0
09/2004,2
10/2004,5
11/2004,9
12/2004,5
01/2005,3
02/2005,2
03/2005,5
04/2005,4
05/2005,0
06/2005,2
07/2005,4
08/2005,2
09/2005,6
10/2005,6
11/2005,7
12/2005,9
01/2006,2
02/2006,0
03/2006,6
04/2006,0
05/2006,2
06/2006,1
07/2006,3
08/2006,3
09/2006,6
10/2006,5
11/2006,10
12/2006,7
01/2007,3
02/2007,3
03/2007,3
04/2007,1
05/2007,2
06/2007,5
07/2007,4
08/2007,1
09/2007,6
10/2007,9
11/2007,6
12/2007,4
01/2008,0
02/2008,3
03/2008,2
04/2008,2
05/2008,4
06/2008,1
07/2008,6
08/2008,5
09/2008,2
10/2008,7
11/2008,8
12/2008,11
01/2009,2
02/2009,2
03/2009,4
04/2009,6
05/2009,4
06/2009,2
07/2009,5
08/2009,7
09/2009,4
10/2009,6
11/2009,7
12/2009,6
01/2010,4
02/2010,5
03/2010,4
04/2010,12
05/2010,7
06/2010,5
07/2010,7
08/2010,6
09/2010,6
10/2010,14
11/2010,11
12/2010,8
01/2011,4
02/2011,10
03/2011,8
04/2011,7
05/2011,5
06/2011,3
07/2011,6
08/2011,5
09/2011,11
10/2011,10
11/2011,10
12/2011,6
01/2012,7
02/2012,12
03/2012,8
04/2012,5
05/2012,5
06/2012,7
07/2012,2
08/2012,11
09/2012,17
10/2012,13
11/2012,19
12/2012,13
01/2013,11
02/2013,5
03/2013,6
04/2013,9
05/2013,5
06/2013,11
07/2013,12
08/2013,12
09/2013,19
10/2013,15
11/2013,16
12/2013,10
01/2014,10
02/2014,13
03/2014,14
04/2014,9
05/2014,9
06/2014,7
07/2014,12
08/2014,3
09/2014,5
10/2014,3
11/2014,3
12/2014,5
01/2015,4
02/2015,2
03/2015,4
04/2015,4
05/2015,8
06/2015,6
07/2015,4
08/2015,11
09/2015,17
10/2015,9
11/2015,1
12/2015,10
01/2016,10
02/2016,6
