01/1985,0
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,0
07/1985,0
08/1985,0
09/1985,0
10/1985,0
11/1985,0
12/1985,3
01/1986,0
02/1986,0
03/1986,0
04/1986,0
05/1986,0
06/1986,0
07/1986,1
08/1986,0
09/1986,0
10/1986,0
11/1986,2
12/1986,1
01/1987,0
02/1987,0
03/1987,0
04/1987,1
05/1987,0
06/1987,0
07/1987,0
08/1987,0
09/1987,0
10/1987,0
11/1987,0
12/1987,1
01/1988,0
02/1988,0
03/1988,0
04/1988,1
05/1988,0
06/1988,0
07/1988,0
08/1988,0
09/1988,0
10/1988,0
11/1988,0
12/1988,2
01/1989,0
02/1989,0
03/1989,0
04/1989,0
05/1989,1
06/1989,0
07/1989,1
08/1989,0
09/1989,0
10/1989,0
11/1989,1
12/1989,6
01/1990,0
02/1990,0
03/1990,0
04/1990,0
05/1990,0
06/1990,0
07/1990,0
08/1990,0
09/1990,1
10/1990,0
11/1990,1
12/1990,3
01/1991,0
02/1991,0
03/1991,0
04/1991,0
05/1991,0
06/1991,0
07/1991,1
08/1991,0
09/1991,1
10/1991,0
11/1991,1
12/1991,10
01/1992,0
02/1992,1
03/1992,0
04/1992,0
05/1992,1
06/1992,0
07/1992,0
08/1992,0
09/1992,1
10/1992,1
11/1992,0
12/1992,5
01/1993,0
02/1993,0
03/1993,1
04/1993,0
05/1993,2
06/1993,4
07/1993,0
08/1993,0
09/1993,0
10/1993,0
11/1993,1
12/1993,14
01/1994,0
02/1994,0
03/1994,0
04/1994,0
05/1994,0
06/1994,0
07/1994,0
08/1994,0
09/1994,2
10/1994,2
11/1994,1
12/1994,14
01/1995,0
02/1995,0
03/1995,0
04/1995,0
05/1995,1
06/1995,1
07/1995,1
08/1995,0
09/1995,1
10/1995,1
11/1995,1
12/1995,10
01/1996,2
02/1996,0
03/1996,0
04/1996,0
05/1996,2
06/1996,0
07/1996,0
08/1996,1
09/1996,2
10/1996,1
11/1996,0
12/1996,15
01/1997,0
02/1997,1
03/1997,3
04/1997,3
05/1997,0
06/1997,2
07/1997,2
08/1997,4
09/1997,3
10/1997,3
11/1997,2
12/1997,24
01/1998,2
02/1998,3
03/1998,1
04/1998,4
05/1998,2
06/1998,1
07/1998,3
08/1998,2
09/1998,3
10/1998,8
11/1998,7
12/1998,12
01/1999,3
02/1999,2
03/1999,2
04/1999,4
05/1999,1
06/1999,2
07/1999,5
08/1999,5
09/1999,7
10/1999,5
11/1999,15
12/1999,15
01/2000,1
02/2000,2
03/2000,4
04/2000,3
05/2000,6
06/2000,6
07/2000,0
08/2000,3
09/2000,6
10/2000,8
11/2000,9
12/2000,20
01/2001,3
02/2001,8
03/2001,6
04/2001,2
05/2001,4
06/2001,5
07/2001,2
08/2001,3
09/2001,6
10/2001,7
11/2001,14
12/2001,14
01/2002,7
02/2002,8
03/2002,14
04/2002,8
05/2002,10
06/2002,10
07/2002,7
08/2002,9
09/2002,10
10/2002,9
11/2002,14
12/2002,17
01/2003,8
02/2003,7
03/2003,14
04/2003,14
05/2003,11
06/2003,10
07/2003,7
08/2003,6
09/2003,12
10/2003,26
11/2003,18
12/2003,20
01/2004,6
02/2004,14
03/2004,16
04/2004,10
05/2004,10
06/2004,19
07/2004,7
08/2004,7
09/2004,8
10/2004,15
11/2004,29
12/2004,14
01/2005,10
02/2005,12
03/2005,23
04/2005,16
05/2005,19
06/2005,13
07/2005,17
08/2005,23
09/2005,33
10/2005,26
11/2005,27
12/2005,39
01/2006,12
02/2006,12
03/2006,36
04/2006,14
05/2006,21
06/2006,19
07/2006,20
08/2006,19
09/2006,26
10/2006,39
11/2006,42
12/2006,35
01/2007,16
02/2007,21
03/2007,38
04/2007,10
05/2007,28
06/2007,20
07/2007,27
08/2007,20
09/2007,26
10/2007,49
11/2007,45
12/2007,29
01/2008,9
02/2008,23
03/2008,21
04/2008,17
05/2008,19
06/2008,27
07/2008,22
08/2008,11
09/2008,25
10/2008,45
11/2008,58
12/2008,20
01/2009,11
02/2009,23
03/2009,18
04/2009,13
05/2009,20
06/2009,17
07/2009,12
08/2009,22
09/2009,25
10/2009,18
11/2009,27
12/2009,28
01/2010,19
02/2010,27
03/2010,27
04/2010,31
05/2010,23
06/2010,28
07/2010,17
08/2010,15
09/2010,25
10/2010,29
11/2010,25
12/2010,20
01/2011,11
02/2011,15
03/2011,28
04/2011,24
05/2011,18
06/2011,36
07/2011,11
08/2011,4
09/2011,20
10/2011,30
11/2011,28
12/2011,21
01/2012,7
02/2012,25
03/2012,31
04/2012,17
05/2012,26
06/2012,24
07/2012,8
08/2012,15
09/2012,18
10/2012,33
11/2012,33
12/2012,19
01/2013,21
02/2013,14
03/2013,24
04/2013,28
05/2013,20
06/2013,18
07/2013,26
08/2013,20
09/2013,31
10/2013,29
11/2013,28
12/2013,17
01/2014,13
02/2014,16
03/2014,27
04/2014,13
05/2014,16
06/2014,19
07/2014,12
08/2014,8
09/2014,11
10/2014,17
11/2014,18
12/2014,7
01/2015,6
02/2015,9
03/2015,6
04/2015,3
05/2015,3
06/2015,11
07/2015,3
08/2015,10
09/2015,16
10/2015,17
11/2015,24
12/2015,8
01/2016,5
02/2016,5
