01/1985,0
02/1985,0
03/1985,0
04/1985,0
05/1985,0
06/1985,0
07/1985,0
08/1985,0
09/1985,0
10/1985,0
11/1985,0
12/1985,0
01/1986,0
02/1986,1
03/1986,0
04/1986,0
05/1986,1
06/1986,0
07/1986,0
08/1986,0
09/1986,0
10/1986,0
11/1986,0
12/1986,1
01/1987,1
02/1987,0
03/1987,0
04/1987,0
05/1987,0
06/1987,0
07/1987,0
08/1987,1
09/1987,1
10/1987,1
11/1987,0
12/1987,4
01/1988,0
02/1988,1
03/1988,0
04/1988,0
05/1988,0
06/1988,0
07/1988,0
08/1988,1
09/1988,0
10/1988,0
11/1988,0
12/1988,3
01/1989,0
02/1989,1
03/1989,1
04/1989,0
05/1989,0
06/1989,0
07/1989,0
08/1989,0
09/1989,0
10/1989,0
11/1989,0
12/1989,7
01/1990,0
02/1990,1
03/1990,0
04/1990,2
05/1990,0
06/1990,0
07/1990,0
08/1990,0
09/1990,0
10/1990,1
11/1990,0
12/1990,3
01/1991,0
02/1991,1
03/1991,1
04/1991,1
05/1991,0
06/1991,1
07/1991,1
08/1991,1
09/1991,0
10/1991,0
11/1991,1
12/1991,4
01/1992,1
02/1992,0
03/1992,3
04/1992,0
05/1992,0
06/1992,0
07/1992,0
08/1992,1
09/1992,1
10/1992,1
11/1992,0
12/1992,10
01/1993,0
02/1993,0
03/1993,0
04/1993,0
05/1993,0
06/1993,1
07/1993,1
08/1993,2
09/1993,0
10/1993,1
11/1993,0
12/1993,5
01/1994,1
02/1994,0
03/1994,1
04/1994,2
05/1994,0
06/1994,0
07/1994,1
08/1994,0
09/1994,1
10/1994,1
11/1994,2
12/1994,8
01/1995,0
02/1995,1
03/1995,3
04/1995,0
05/1995,0
06/1995,1
07/1995,0
08/1995,1
09/1995,2
10/1995,0
11/1995,1
12/1995,8
01/1996,0
02/1996,1
03/1996,0
04/1996,0
05/1996,2
06/1996,0
07/1996,1
08/1996,2
09/1996,0
10/1996,0
11/1996,0
12/1996,6
01/1997,0
02/1997,0
03/1997,1
04/1997,1
05/1997,0
06/1997,1
07/1997,1
08/1997,1
09/1997,5
10/1997,0
11/1997,4
12/1997,6
01/1998,0
02/1998,0
03/1998,0
04/1998,3
05/1998,2
06/1998,0
07/1998,2
08/1998,0
09/1998,1
10/1998,2
11/1998,1
12/1998,7
01/1999,1
02/1999,1
03/1999,1
04/1999,5
05/1999,0
06/1999,3
07/1999,3
08/1999,1
09/1999,5
10/1999,4
11/1999,7
12/1999,6
01/2000,1
02/2000,2
03/2000,2
04/2000,2
05/2000,1
06/2000,7
07/2000,1
08/2000,5
09/2000,3
10/2000,2
11/2000,6
12/2000,9
01/2001,3
02/2001,5
03/2001,5
04/2001,1
05/2001,1
06/2001,6
07/2001,1
08/2001,2
09/2001,5
10/2001,2
11/2001,3
12/2001,10
01/2002,2
02/2002,2
03/2002,10
04/2002,2
05/2002,3
06/2002,4
07/2002,3
08/2002,5
09/2002,6
10/2002,4
11/2002,10
12/2002,8
01/2003,4
02/2003,7
03/2003,8
04/2003,6
05/2003,4
06/2003,9
07/2003,6
08/2003,8
09/2003,8
10/2003,5
11/2003,14
12/2003,11
01/2004,6
02/2004,5
03/2004,4
04/2004,8
05/2004,5
06/2004,5
07/2004,6
08/2004,3
09/2004,6
10/2004,6
11/2004,17
12/2004,11
01/2005,3
02/2005,6
03/2005,12
04/2005,8
05/2005,10
06/2005,2
07/2005,7
08/2005,11
09/2005,7
10/2005,7
11/2005,7
12/2005,16
01/2006,8
02/2006,9
03/2006,16
04/2006,9
05/2006,7
06/2006,10
07/2006,5
08/2006,9
09/2006,16
10/2006,12
11/2006,18
12/2006,12
01/2007,10
02/2007,11
03/2007,14
04/2007,10
05/2007,9
06/2007,14
07/2007,11
08/2007,13
09/2007,15
10/2007,17
11/2007,22
12/2007,14
01/2008,9
02/2008,12
03/2008,11
04/2008,10
05/2008,14
06/2008,16
07/2008,8
08/2008,12
09/2008,29
10/2008,19
11/2008,23
12/2008,17
01/2009,9
02/2009,11
03/2009,9
04/2009,13
05/2009,10
06/2009,15
07/2009,5
08/2009,8
09/2009,19
10/2009,19
11/2009,17
12/2009,35
01/2010,12
02/2010,33
03/2010,24
04/2010,16
05/2010,19
06/2010,13
07/2010,11
08/2010,16
09/2010,20
10/2010,24
11/2010,19
12/2010,34
01/2011,12
02/2011,18
03/2011,26
04/2011,17
05/2011,20
06/2011,14
07/2011,7
08/2011,13
09/2011,12
10/2011,15
11/2011,18
12/2011,21
01/2012,6
02/2012,13
03/2012,17
04/2012,14
05/2012,13
06/2012,13
07/2012,7
08/2012,14
09/2012,24
10/2012,10
11/2012,19
12/2012,21
01/2013,9
02/2013,11
03/2013,13
04/2013,18
05/2013,9
06/2013,12
07/2013,25
08/2013,18
09/2013,15
10/2013,18
11/2013,17
12/2013,21
01/2014,11
02/2014,19
03/2014,21
04/2014,14
05/2014,17
06/2014,10
07/2014,13
08/2014,10
09/2014,15
10/2014,10
11/2014,12
12/2014,9
01/2015,4
02/2015,1
03/2015,9
04/2015,4
05/2015,12
06/2015,2
07/2015,3
08/2015,12
09/2015,5
10/2015,19
11/2015,10
12/2015,17
01/2016,4
02/2016,8
